RestaurantName,DiningRating,DeliveryRating,DiningVotes,DeliveryVotes,Cuisine,PlaceName,ItemName,BestSeller,Votes,Prices,Total_rating
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Platter Kebab Combo,BESTSELLER,84,249.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Rumali Shawarma,BESTSELLER,45,129.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken BBQ Salad,BESTSELLER,43,189.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Doner Wrap Combo,MUST TRY,31,205.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Tandoori Pizza [8 inches],BESTSELLER,48,199.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Zinger Tortilla Wrap,CHEF'S SPECIAL,27,165.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Popcorn [20 Pieces],BESTSELLER,59,165.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Platter Kebab Combo,BESTSELLER,27,279.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Doner Kebab,MUST TRY,5,159.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Shawarma,MUST TRY,5,129.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Platter Kebab Combo,BESTSELLER,84,249.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Platter Kebab Combo,BESTSELLER,27,279.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Kebab Wrap Combo,BESTSELLER,26,205.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Doner Wrap Combo,CHEF'S SPECIAL,31,205.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken BBQ Salad,BESTSELLER,43,189.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Doner Kebab,CHEF'S SPECIAL,5,159.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Tandoori Pizza [8 inches],BESTSELLER,48,199.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Zinger Tortilla Wrap,CHEF'S SPECIAL,27,165.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Special Fish Tortilla Wrap,CHEF'S SPECIAL,0,165.0,8.1
Doner King,3.9,4.2,39,0,Fast Food,"Malakpet, Hyderabad",Chicken Rumali Shawarma,BESTSELLER,45,129.0,8.1
